eventType,attribute,description
SyntheticsPrivateMinion,minionLocation,The location code this minion is operating in.
SyntheticsPrivateMinion,minionStartTimestamp,The time which this specific minion started.
SystemSample,agentName,The name of the agent (Infrastructure).
SystemSample,agentVersion,The version of the New Relic Infrastructure agent.
SystemSample,cpuIdlePercent,The portion of the current CPU utilization capacity that is idle.
SystemSample,cpuIoWaitPercent,The portion of the current CPU utilization composed only of I/O wait time usage.
SystemSample,cpuPercent,"Total CPU utilization as a percentage. This is not an actual recorded value; it is an alias that combines percentage data from cpuSystemPercent, cpuUserPercent, cpuIoWaitPercent and cpuStealPercent."
SystemSample,cpuStealPercent,The portion of time when a virtualized CPU is waiting for the hypervisor to make real CPU time available to it.
SystemSample,cpuSystemPercent,The portion of the current CPU utilization composed only of system time usage.
SystemSample,cpuUserPercent,The portion of the current CPU utilization composed only of user time usage.
SystemSample,diskFreeBytes,"The cumulative disk space that is free across all supported devices. (To find per-device values, use StorageSample events.)"
SystemSample,diskFreePercent,The cumulative disk emptiness percentage.
SystemSample,diskReadsPerSecond,The number of read I/O operations per second.
SystemSample,diskReadUtilizationPercent,The portion of disk I/O utilization for read operations.
SystemSample,diskTotalBytes,The cumulative total disk space on system.
SystemSample,diskUsedBytes,"The cumulative disk space used across all supported devices, in bytes."
SystemSample,diskUsedPercent,The cumulative disk fullness percentage.
SystemSample,diskUtilizationPercent,The percent of time spent waiting for read or write disk I/O operations.
SystemSample,diskWritesPerSecond,The number of write I/O operations per second.
SystemSample,diskWriteUtilizationPercent,The portion of disk I/O utilization for write operations.
SystemSample,entityID,New Relic's unique ID number for the entity that is reporting data. This is used by New Relic to distinguish between customers and their entities.
SystemSample,fullHostname,The fully qualified (DNS) hostname.
SystemSample,hostname,The short version of the entity's name.
SystemSample,kernelVersion,"The Linux kernel version, in string format."
SystemSample,linuxDistribution,The name of the Linux distribution the server is using.
SystemSample,loadAverageFifteenMinute,"Over the last fifteen minutes, the average number of system processes, threads, or tasks that are waiting and ready for CPU time."
SystemSample,loadAverageFiveMinute,"Over the last 5 minutes, the average number of system processes, threads, or tasks that are waiting and ready for CPU time."
SystemSample,loadAverageOneMinute,"Over the last minute, the average number of system processes, threads, or tasks that are waiting and ready for CPU time."
SystemSample,memoryFreeBytes,"The portion of free memory available to this server, in bytes."
SystemSample,memoryTotalBytes,"The total amount of memory, in bytes, available to this server."
SystemSample,memoryUsedBytes,"The portion of available memory that is in use on this server, in bytes."
SystemSample,operatingSystem,The operating system on which the agent is installed.
SystemSample,operatingSystem,The operating system on which the agent is installed.
SystemSample,swapFreeBytes,"The portion of available swap space on this server that is free, in bytes. This is a Linux-only feature."
SystemSample,swapTotalBytes,"The total amount of swap space available to the server, in bytes. This is a Linux-only feature."
SystemSample,swapUsedBytes,"The portion of available swap space on this server that is in use, in bytes. This is a Linux-only feature."
SystemSample,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
SystemSample,windowsFamily,The Windows family indicates whether the OS is a server or desktop targeted system.
SystemSample,windowsPlatform,The full product name of the installed version of Windows.
SystemSample,windowsVersion,The combined Windows version and build-number string of the OS.
Transaction,accountId,The unique ID of the account associated with the service/application where the Transaction was created.
Transaction,appId,The unique identifier assigned by New Relic for the service/application where the Transaction was created. Ex: 6637898.
Transaction,appName,The application name set in the New Relic agent configuration.
Transaction,databaseCallCount,The number of database calls made by this transaction.
Transaction,databaseDuration,The database response time in seconds.
Transaction,duration,"The total server-side response time for the transaction, in seconds. Does not include request queueing time."
Transaction,entityGuid,"The GUID, assigned by New Relic, for the New Relic-monitored entity (host, application, etc.)."
Transaction,errorMessage,"(.NET and PHP agents only) This will be server and platform specific. The message contained within an error for the transaction. If an error occurs during a transaction, the error may skew the duration of the event."
Transaction,errorType,"This will be server and platform specific. The class or classification of the error. If multiple errors occur, only the first will be shown. If an error occurs during a transaction, the error may skew the duration of the event."
Transaction,externalCallCount,The number of external calls made by this transaction.
Transaction,externalDuration,"The total response time of all externals, in seconds."
Transaction,gcCumulative,"(Ruby agent only)The total time spent in garbage collection during this transaction, in seconds."
Transaction,guid,The identifier for the transaction.
Transaction,host,The name of the application host that processed this request.
Transaction,httpResponseCode,The HTTP response code associated with the transaction.
Transaction,memcacheDuration,"The memcache response time, in seconds."
Transaction,name,The name of the transaction associated with this data. Ex: Controller/customers/show.
Transaction,parent.account,"If a distributed tracing payload is received, this is the account identifier for the transaction's upstream caller."
Transaction,parent.app,"If a distributed tracing payload is received, this is the application identifier. APM agents retrieve this value in the connect response under the key `primary_application_id`."
Transaction,parent.transportDuration,"When distributed tracing is enabled and a payload is received, the difference in time between the timestamp given for when the payload was sent and the moment it was processed."
Transaction,parent.transportType,"When a distributed tracing payload is received, the method of transport for the payload. For example: `Unknown`, `HTTP`, `HTTPS`, `Kafka`, `JMS`, `IronMQ`, `AMQP, `Queue`, or `Other`."
Transaction,parent.type,"If a distributed trace payload was received, the parent's data source type. For example: `App`, `Browser`, or `Mobile`."
Transaction,parentId,"If a distributed trace payload was received, the guid of this parent transaction."
Transaction,priority,Likelihood this event will be saved.
Transaction,queueDuration,"The total time the requester waits for a service to initiate, in seconds."
Transaction,realAgentId,The ID of the New Relic agent that is reporting.
Transaction,request.headers.contentLength,Incoming request size in bytes as read from the Content-Length HTTP request header.
Transaction,request.headers.contentType,Incoming request content-type as read from the HTTP request header Content-Type. For example: `application/octet-stream`.
Transaction,request.headers.host,The name from the HTTP host request header.
Transaction,request.headers.referer,The incoming request referer as read from the Referer request header.
Transaction,request.headers.User-Agent,The contents of the User-Agent HTTP header.
Transaction,request.method,The HTTP request method used. For example: `POST` or `GET`.
Transaction,requests.header.accept,The types as read from the HTTP Accept request header.
Transaction,response.headers.contentLength,The outgoing response size in bytes as read from the Content-Length response header.
Transaction,response.headers.contentType,"For an HTTP response, the data type of the returned response. For example: `text/html` or `application/json`."
Transaction,sampled,Indicates whether this event was sampled for inclusion in a distributed trace. Only present when distributed tracing is enabled.
Transaction,totalTime,"The sum of all async components' duration, in seconds. An async component is a method or function where there is no instrumented encapsulating method or function."
Transaction,transactionSubType,The detailed type of transaction. Ex: Controller or Custom.
Transaction,transactionType,The type of the transaction. For example: Web or Background (non-web).
Transaction,tripId,"A randomly-generated string that is consistent for every transaction in a cross-application trace. This string can be used to identify the set of transactions associated with a particular trip or trace. If distributed tracing is enabled, this will be reported as `traceId`."
Transaction,type,The New Relic event type. For example: `Transaction` or `Span`.
Transaction,webDuration,"The duration of the transaction, equivalent to duration."
TransactionError,accountId,The unique ID of the account associated with the service/application where the Transaction was created.
TransactionError,appId,The unique identifier assigned by New Relic for the service/application where the Transaction was created. Ex: 6637898.
TransactionError,appName,The application name set in the New Relic agent configuration.
TransactionError,databaseCallCount,The number of database calls made by this transaction.
TransactionError,databaseDuration,The database response time in seconds.
TransactionError,duration,"The total server-side response time for the transaction, in seconds. Does not include request queueing time."
TransactionError,entityGuid,"The GUID, assigned by New Relic, for the New Relic-monitored entity (host, application, etc.)."
TransactionError,error.class,The class name or type for the error. This will be server and platform specific.
TransactionError,error.expected,Determines whether an error is expected or not. Expected errors do not affect error rates or Apdex.
TransactionError,error.message,The error message for the transaction. This will be server and platform specific.
TransactionError,errorType,"This will be server and platform specific. The class or classification of the error. If multiple errors occur, only the first will be shown. If an error occurs during a transaction, the error may skew the duration of the event."
TransactionError,externalCallCount,The number of external calls made by this transaction.
TransactionError,externalDuration,"The total response time of all externals, in seconds."
TransactionError,gcCumulative,"(Ruby agent only)The total time spent in garbage collection during this transaction, in seconds."
TransactionError,guid,The identifier for the transaction.
TransactionError,host,The name of the application host that processed this request.
TransactionError,httpResponseCode,The HTTP response code associated with the transaction.
TransactionError,memcacheDuration,"The memcache response time, in seconds."
TransactionError,parent.account,"If a distributed tracing payload is received, this is the account identifier for the transaction's upstream caller."
TransactionError,parent.app,"If a distributed tracing payload is received, this is the application identifier. APM agents retrieve this value in the connect response under the key `primary_application_id`."
TransactionError,parent.transportDuration,"When distributed tracing is enabled and a payload is received, the difference in time between the timestamp given for when the payload was sent and the moment it was processed."
TransactionError,parent.transportType,"When a distributed tracing payload is received, the method of transport for the payload. For example: `Unknown`, `HTTP`, `HTTPS`, `Kafka`, `JMS`, `IronMQ`, `AMQP, `Queue`, or `Other`."
TransactionError,parent.type,"If a distributed trace payload was received, the parent's data source type. For example: `App`, `Browser`, or `Mobile`."
TransactionError,parentId,"If a distributed trace payload was received, the guid of this parent transaction."
TransactionError,port,"The listening port of the transaction that generated the event. This information will not always be available, so this attribute may not always be reported."
TransactionError,priority,Likelihood this event will be saved.
TransactionError,queueDuration,"The total time the requester waits for a service to initiate, in seconds."
TransactionError,realAgentId,The ID of the New Relic agent that is reporting.
TransactionError,request.headers.contentLength,Incoming request size in bytes as read from the Content-Length HTTP request header.
TransactionError,request.headers.contentType,Incoming request content-type as read from the HTTP request header Content-Type. For example: `application/octet-stream`.
TransactionError,request.headers.host,The name from the HTTP host request header.
TransactionError,request.headers.referer,The incoming request referer as read from the Referer request header.
TransactionError,request.headers.User-Agent,The contents of the User-Agent HTTP header.
TransactionError,request.method,The HTTP request method used. For example: `POST` or `GET`.
TransactionError,requests.header.accept,The types as read from the HTTP Accept request header.
TransactionError,response.headers.contentLength,The outgoing response size in bytes as read from the Content-Length response header.
TransactionError,response.headers.contentType,"For an HTTP response, the data type of the returned response. For example: `text/html` or `application/json`."
TransactionError,sampled,Indicates whether this event was sampled for inclusion in a distributed trace. Only present when distributed tracing is enabled.
TransactionError,threadConcurrency,"A measure of ""thread utilization"", representing the number of threads handling concurrent requests."
TransactionError,timestamp,The start time of the job in epoch milliseconds.
TransactionError,traceId,"Links all New Relic trace data (events, etc.) within the call chain together. Included when Distributed Tracing is enabled."
TransactionError,transactionName,Name of the transaction in which the error occurred. For example: `Controller/customers/show`. Value may be `Unknown` if error occurs outside of a transaction.
TransactionError,transactionUiName,The UI display name equivalent of transactionName.
TransactionError,type,The New Relic event type. For example: `Transaction` or `Span`.
TransactionError,wsgi.input.calls.read,(Python agent only) The number of calls to read() by the WSGI server to handle request.
TransactionError,wsgi.input.calls.readline,(Python agent only) The number of calls to readline() by the WSGI server to handle request.
TransactionError,wsgi.input.calls.readlines,(Python agent only) The number of calls to readlines() by the WSGI server to handle request.
TransactionError,wsgi.output.calls.write,(Python agent only) Number of calls to yield by the WSGI server to send response.
TransactionError,wsgi.output.calls.yield,(Python agent only) Number of calls to yield by the WSGI server to send response.
